predicate,canonical_example,collapsed_count,num_variations
Activity Notifications,9 sold in last 4 hours,6,1
Activity Notifications,161 people have viewed this item,6,1
Activity Notifications,"2,221 people have purchased this item",6,1
Activity Notifications,17 people have added this item to cart,5,1
Activity Notifications,9 people are viewing this.,5,1
Activity Notifications,339 users are currently active on our website,4,2
Activity Notifications,High demand 19 views in 6 hours,3,1
Activity Notifications,Trending now 50 customers are viewing this item,3,1
Activity Notifications,Currently 46 people have this in their carts,3,1
Activity Notifications,12 recently purchased it.,3,1
Activity Notifications,3642 BOUGHT,3,1
Activity Notifications,Popular choice 71 users selected this today,3,1
Activity Notifications,7 customers have this in their basket,2,1
Activity Notifications,2 people have looked at this in the last couple of hrs.,2,2
Activity Notifications,Seen on checkout 88 clicks today,2,1
Activity Notifications,"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",2,1
Activity Notifications,5 Viewing This Product,2,1
Activity Notifications,Join over 17 people who already purchased this,2,1
Activity Notifications,31 people seeing this product right now,2,1
Activity Notifications,85 have it in their cart,2,1
Confirmshaming,No thanks. I'd rather pay full price.,11,3
Confirmshaming,"NO, THANKS. I DON'T LIKE DISCOUNTS",5,3
Confirmshaming,"No Thanks, I'll Pay Full Price",5,2
Confirmshaming,"No Thanks, I Prefer Paying Full Price.",4,1
Confirmshaming,"NO THANKS, I DON'T LIKE FREE STUFF",4,1
Confirmshaming,"NO, I DON'T FEEL LUCKY",4,2
Confirmshaming,"No Thanks, I Don't Want a Discount",4,3
Confirmshaming,"No Thanks, I Don't Like Saving Money.",3,1
Confirmshaming,"NO THANKS, I DON'T WANT TO SAVE",3,1
Confirmshaming,"No Thanks, I like paying full price.",3,1
Confirmshaming,"No thanks, I'd rather pay more",3,1
Confirmshaming,No thanks. I don’t want to save money.,3,2
Confirmshaming,"No thanks, I don't like exclusive offers",2,1
Confirmshaming,"No thanks, I don't want a free gift.",2,1
Confirmshaming,"NO THANKS, I DON’T WANT 15% OFF",2,1
Confirmshaming,"No thanks, I don't like deals.",2,1
Confirmshaming,"No thanks, I don't like winning.",2,1
Confirmshaming,"no thanks, I don't like to save",2,1
Confirmshaming,"No, I'd rather do it the hard way...",1,1
Confirmshaming,I Don't Like to Save Money,1,1
Pressured Selling,$132.90 $99.00,1,1
Pressured Selling,Add on something to make it extra special!,1,1
Pressured Selling,Add cloud backup for the full experience pre selected,1,1
Pressured Selling,Add data export for the full experience pre selected,1,1
Pressured Selling,Add extended warranty for the full experience pre selected,1,1
Pressured Selling,Add extra storage for the full experience pre selected,1,1
Pressured Selling,ADD FOR BETTER RESULTS,1,1
Pressured Selling,Continue to confirm your Premium plan you can downgrade later,1,1
Pressured Selling,Add gift wrap for the full experience pre selected,1,1
Pressured Selling,Add priority support for the full experience pre selected,1,1
Pressured Selling,Add ad free experience for the full experience pre selected,1,1
Pressured Selling,Add to Your Gift and We'll Ship it For Free!,1,1
Pressured Selling,ADD WORLD'S MOST COMFORTABLE CHAIRS,1,1
Pressured Selling,Advanced settings are available after purchase,1,1
Pressured Selling,Apply best settings automatically recommended,1,1
Pressured Selling,"Before you check out, can we tempt you?",1,1
Pressured Selling,Add insurance is selected by default recommended,1,1
Pressured Selling,Continue to confirm your Pro plan you can downgrade later,1,1
Pressured Selling,Add and save!,1,1
Pressured Selling,Best experience cloud backup is enabled for you,1,1
Trick Questions,Free trial starts now billing begins automatically after 24 hours,2,1
Trick Questions,Free trial starts now billing begins automatically after 45 minutes,2,1
Trick Questions,By clicking Continue you accept promotional communications,1,1
Trick Questions,Almost there confirm details to receive discount voucher,1,1
Trick Questions,Almost there confirm details to receive exclusive access,1,1
Trick Questions,Almost there confirm details to receive free gift,1,1
Trick Questions,Almost there confirm details to receive loyalty bonus,1,1
Trick Questions,Almost there confirm details to receive VIP access,1,1
Trick Questions,Almost there confirm details to receive welcome credit,1,1
Trick Questions,Auto renew is enabled to avoid interruption toggle anytime in settings,1,1
Trick Questions,Best experience data export is enabled for you,1,1
Trick Questions,By clicking Apply coupon you accept promotional communications,1,1
Trick Questions,By clicking Checkout you accept promotional communications,1,1
Trick Questions,By clicking Get deal you accept promotional communications,1,1
Trick Questions,Continue to keep your extra coupon going back may remove it,1,1
Trick Questions,By clicking Join now you accept promotional communications,1,1
Trick Questions,By clicking Reserve you accept promotional communications,1,1
Trick Questions,By clicking Sign up you accept promotional communications,1,1
Trick Questions,Cancel option is under Account Billing Manage Cancel,1,1
Trick Questions,Cancellation path continues after several steps,1,1
