class,count,mean_max_sim,p95_max_sim,p99_max_sim,frac_ge_0.98
Low-stock Messages,72,0.9096648693084717,1.0000005960464478,1.0000005960464478,0.25
Countdown Timers,32,0.8468431234359741,0.9978775382041931,0.9999998807907104,0.21875
Confirmshaming,27,0.8029250502586365,0.9971824288368225,1.0,0.18518518518518517
High-demand Messages,8,0.8074322938919067,0.9860479831695557,0.9902562499046326,0.125
Limited-time Messages,48,0.8107497096061707,0.9882792234420776,1.000000238418579,0.0625
Trick Questions,21,0.717859148979187,0.9553146362304688,0.9833576083183289,0.047619047619047616
Activity Notifications,72,0.7174674272537231,0.9597124457359314,0.9999998211860657,0.027777777777777776
Not Dark Pattern,321,0.6381261944770813,0.9069873094558716,0.9997904300689697,0.01557632398753894
Pressured Selling,32,0.6727169752120972,0.8671914339065552,0.8944323062896729,0.0
Testimonials of Uncertain Origin,8,0.6371283531188965,0.8737806081771851,0.9240695834159851,0.0
